setup,1.54124e+08
1,1337
1,1224
1,1204
1,1419
1,1068
1,1687
1,1555
1,1532
1,1716
1,1206
1,1531
1,1392
1,1538
1,1192
1,1438
1,1459
1,1221
1,1304
1,1220
1,1222
1,1524
1,1376
1,1334
1,1797
1,1224
1,1468
1,1277
1,1259
1,1396
1,1128
1,1338
1,1294
1,1134
1,1271
1,1184
1,1576
1,1378
1,1501
1,1310
1,1418
1,1171
2,1456
2,1571
2,1713
2,1556
2,1358
2,1488
2,1464
2,1195
2,1389
2,1370
2,1402
2,1920
2,1464
2,1264
2,1278
2,1362
2,1327
2,1315
2,1365
2,1461
2,1384
2,1351
2,1323
2,1446
2,1417
2,1352
2,1322
2,1152
2,1367
2,1446
2,1071
2,1372
2,1566
2,1394
2,1130
2,1471
2,1265
2,1407
2,1446
2,1481
2,1381
2,1244
2,1500
2,1232
2,1371
2,1109
2,1436
2,1292
2,1131
2,1865
2,1771
3,1477
3,1363
3,2158
3,1491
3,1256
3,1562
3,1303
3,1300
3,1766
3,1794
3,1379
3,1791
3,1422
3,1332
3,1924
3,1307
3,1493
3,1547
3,1265
3,1436
3,1629
3,1637
3,1709
3,1738
3,1619
3,1638
3,1703
3,1665
3,1504
3,1572
3,1509
3,1616
3,1488
3,1572
4,1947
4,1673
4,1362
4,1646
4,1345
4,1532
4,1677
4,1304
4,1476
4,1454
4,1709
4,1665
4,1411
4,1703
4,1471
4,1765
4,1413
4,1488
4,1838
4,1191
4,1487
4,1550
4,1590
4,1835
4,1494
5,1720
5,1671
5,1824
5,1763
5,1788
5,2066
5,1967
5,2048
5,1741
5,1654
5,1658
5,1807
5,1588
5,1702
5,1647
5,1605
5,1592
5,1670
5,1725
5,2115
6,1838
6,1719
6,1673
6,1995
6,1704
6,1936
6,1540
6,1865
6,1561
6,1779
6,1832
6,1845
6,1740
6,1377
6,2333
6,1759
6,1688
7,1590
7,1922
7,1974
7,1652
7,1844
7,1919
7,1801
7,2129
7,1741
7,1376
7,2038
7,2017
7,1365
7,2072
8,1950
8,1966
8,1774
8,2039
8,1489
8,2132
8,2140
8,1997
8,1762
8,1804
8,2009
8,1891
8,1867
9,2120
9,1958
9,1808
9,1837
9,1881
9,1982
9,2225
9,1877
9,1963
9,2089
9,1913
10,1935
10,1733
10,2529
10,2392
10,2062
10,2169
10,2031
10,2017
10,2406
10,1736
11,1824
11,2125
11,2082
11,2199
11,2270
11,2187
11,2394
11,1924
11,2267
12,2751
12,2610
12,2193
12,2240
12,2352
12,2500
12,1864
12,1817
12,2111
13,2191
13,2799
13,2238
13,2420
13,1991
13,2187
13,2496
14,2237
14,2504
14,2506
14,2257
14,2568
14,2413
14,2508
15,2918
15,2562
15,2745
15,2379
15,2416
15,2506
15,2117
16,2471
16,2500
16,2603
16,2439
16,3050
16,2271
17,2212
17,2497
17,2585
17,2853
17,2601
17,2274
18,2733
18,2597
18,2207
18,2501
18,2318
18,2491
19,3028
19,2252
19,2877
19,2480
19,2649
20,2961
20,2646
20,2632
20,2362
20,2452
21,3231
21,2947
21,3145
21,2550
21,2782
22,2920
22,2963
22,2671
22,2712
23,2703
23,3725
23,2331
23,2841
23,2723
24,3697
24,2652
24,2747
24,3305
25,2920
25,3359
25,3011
25,3706
26,3012
26,4037
26,3723
26,2713
27,3089
27,3063
27,3346
27,2740
28,2877
28,2912
28,3761
29,4262
29,3117
29,2512
29,3743
30,2947
30,3196
30,2692
31,2988
31,4212
31,3129
32,3108
32,3915
32,3921
33,3956
33,2914
33,3419
34,3639
34,4272
34,3645
35,3664
35,3524
35,3857
36,3731
36,3711
36,3578
37,3553
37,4082
37,3167
38,4212
38,3867
39,3672
39,3290
39,4461
40,3628
40,3484
41,3633
41,4996
41,3645
42,4230
42,4033
43,4237
43,3792
44,3585
44,3692
44,3437
45,3980
45,3409
46,4621
46,4148
47,3783
47,3587
48,4066
48,3853
49,3658
49,4181
50,4484
50,4200
51,6317
51,5217
52,3856
52,4210
